iter	Passed	Remaining
800	5245	1303
801	5251	1296
802	5258	1290
803	5265	1283
804	5271	1276
805	5278	1270
806	5285	1263
807	5291	1257
808	5297	1250
809	5304	1244
810	5310	1237
811	5316	1230
812	5322	1224
813	5329	1217
814	5336	1211
815	5342	1204
816	5349	1198
817	5355	1191
818	5362	1185
819	5368	1178
820	5375	1171
821	5381	1165
822	5387	1158
823	5394	1152
824	5401	1145
825	5408	1139
826	5414	1132
827	5420	1126
828	5427	1119
829	5433	1112
830	5440	1106
831	5446	1099
832	5453	1093
833	5459	1086
834	5466	1080
835	5472	1073
836	5478	1066
837	5484	1060
838	5491	1053
839	5498	1047
840	5504	1040
841	5511	1034
842	5517	1027
843	5523	1021
844	5530	1014
845	5536	1007
846	5543	1001
847	5549	994
848	5555	988
849	5563	981
850	5570	975
851	5577	968
852	5583	962
853	5590	955
854	5596	949
855	5603	942
856	5609	936
857	5615	929
858	5621	922
859	5628	916
860	5634	909
861	5641	903
862	5648	896
863	5654	890
864	5660	883
865	5667	876
866	5673	870
867	5680	863
868	5687	857
869	5693	850
870	5715	846
871	5728	840
872	5744	835
873	5759	830
874	5773	824
875	5785	818
876	5792	812
877	5799	805
878	5806	799
879	5819	793
880	5825	786
881	5831	780
882	5837	773
883	5843	766
884	5849	760
885	5856	753
886	5862	746
887	5868	740
888	5875	733
889	5882	726
890	5888	720
891	5894	713
892	5900	707
893	5907	700
894	5913	693
895	5920	687
896	5926	680
897	5932	673
898	5938	667
899	5945	660
900	5951	653
901	5957	647
902	5963	640
903	5969	633
904	5976	627
905	5982	620
906	5989	614
907	5995	607
908	6001	600
909	6009	594
910	6017	587
911	6024	581
912	6031	574
913	6037	568
914	6043	561
915	6050	554
916	6056	548
917	6062	541
918	6069	534
919	6075	528
920	6081	521
921	6088	515
922	6094	508
923	6101	501
924	6107	495
925	6114	488
926	6120	481
927	6127	475
928	6133	468
929	6139	462
930	6146	455
931	6153	448
932	6160	442
933	6167	435
934	6173	429
935	6179	422
936	6185	415
937	6191	409
938	6197	402
939	6204	396
940	6210	389
941	6217	382
942	6224	376
943	6230	369
944	6236	362
945	6242	356
946	6248	349
947	6255	343
948	6261	336
949	6268	329
950	6275	323
951	6281	316
952	6287	310
953	6294	303
954	6301	296
955	6308	290
956	6315	283
957	6321	277
958	6328	270
959	6335	263
960	6341	257
961	6347	250
962	6354	244
963	6360	237
964	6367	230
965	6373	224
966	6380	217
967	6386	211
968	6393	204
969	6399	197
970	6406	191
971	6412	184
972	6418	178
973	6424	171
974	6431	164
975	6437	158
976	6443	151
977	6449	145
978	6455	138
979	6462	131
980	6468	125
981	6475	118
982	6481	112
983	6487	105
984	6493	98
985	6499	92
986	6505	85
987	6511	79
988	6517	72
989	6524	65
